Optimization type,Temperature_[K],kij,MARD_percentage
distance,223.17,-0.17278015609708158,11.299264136125842
distance,203.4,0.05685016261743166,0.9838781872035433
distance,273.2,0.052581943142810755,1.6101800233004362
distance,252.0,0.06860919065661986,0.3312205658759593
global,223.17,-0.21651998668472755,12.238598782488179
global,203.4,-0.21651998668472755,18.665359432534366
global,273.2,-0.21651998668472755,7.013950853661191
global,252.0,-0.21651998668472755,11.452136616265356
chemical potential,223.17,0.07378147882735392,2.5037189841890437
chemical potential,203.4,0.07444660136042967,1.2933725740170803
chemical potential,273.2,0.07411289091173173,3.126347437010167
chemical potential,252.0,0.07066886493246469,1.2848134031253093
pressure,223.17,nan,nan
pressure,203.4,nan,nan
pressure,273.2,0.0568405578087553,4.682595219916569
pressure,252.0,0.06926430868088321,0.4974997083389383
