Optimization type,Temperature_[K],kij,MARD_percentage
distance,230.0,0.051884251100219075,1.1867890357078128
distance,250.0,0.0542836163321534,1.0381539081423665
distance,270.0,0.05650751652296549,0.7387062715554543
distance,293.13,0.07704703219010192,1.0764602227654367
distance,298.14,0.08426868178984104,0.6929134954169031
distance,219.2691,0.06967346020682326,0.3039865094426647
distance,288.5,0.06266803706064344,0.9191635350599914
chemical potential,230.0,0.0702666204313306,2.1995315796812505
chemical potential,250.0,0.06822886297823037,1.8134469486358278
chemical potential,270.0,0.05098278275769901,1.466221376739085
chemical potential,293.13,0.04534648323597109,1.6375611079328865
chemical potential,298.14,0.0358441506767377,3.2070912080661236
chemical potential,219.2691,0.07338036531813641,1.0498899026477104
chemical potential,288.5,0.03635241851667201,1.9213971699331545
pressure,230.0,0.060763365182540115,5.562517610598913
pressure,250.0,0.05937756539446206,3.7420554582288013
pressure,270.0,0.051423558000426736,1.6355683523626392
pressure,293.13,0.04395772303590661,1.324200151389367
pressure,298.14,0.04153120027459595,0.5032409574203468
pressure,219.2691,0.07231653533475427,2.8966279580891015
pressure,288.5,nan,nan
