Optimization type,Temperature_[K],kij,MARD_percentage
distance,223.15,-0.008243256006970383,0.8173611047295266
distance,233.15,-0.008987666544557894,0.6614755958841881
distance,243.15,-0.006314881095704366,0.6405634582747524
distance,253.15,-0.007036773696762683,0.8847661512067497
distance,263.15,-0.013068656610668033,0.6143048133037602
distance,273.15,-0.017197649026473114,0.5806924730655431
distance,283.15,-0.01668878946721068,1.0927002952454639
chemical potential,223.15,0.016118227857447365,2.3737800959310045
chemical potential,233.15,0.011504718039492752,1.4318897099853032
chemical potential,243.15,0.02512720546698753,2.8730189544665325
chemical potential,253.15,-0.010226836903784788,3.275390471469402
chemical potential,263.15,-0.0018125055948135594,0.8017679316954591
chemical potential,273.15,0.013612021854545577,2.4501518553485235
chemical potential,283.15,-0.005330335534552604,2.5494859395628167
pressure,223.15,0.0003019918284582583,8.992195592022187
pressure,233.15,-0.0001774392367703441,6.825278006453714
pressure,243.15,0.0009818416441165424,4.638986998670248
pressure,253.15,-0.0019089547419979091,6.015744801881122
pressure,263.15,-0.006299593849007066,2.3851957727703392
pressure,273.15,-0.012592067062974626,1.821859910860992
pressure,283.15,nan,nan
