Optimization type,Temperature_[K],kij,MARD_percentage
distance,123.4133,0.013061049518326996,0.21828181828725166
distance,137.114,0.011653613207731084,0.26932663489953157
distance,164.0136,0.009383788538585888,0.4293253979037613
distance,178.0122,0.011414266056412221,0.23569690618980518
chemical potential,123.4133,0.015379790703191596,0.36043859469168293
chemical potential,137.114,0.0068460968956156895,0.4123057230675746
chemical potential,164.0136,0.0059957920112012,0.3855240262606287
chemical potential,178.0122,0.019865896916011264,0.2246324536401334
pressure,123.4133,0.013393562014493599,1.027479040765637
pressure,137.114,0.00974368608659858,1.1178230950952934
pressure,164.0136,0.005071364763653395,1.2317199840747461
pressure,178.0122,nan,nan
