Optimization type,Temperature_[K],kij,MARD_percentage
distance,70.0,0.01088100010058738,1.2038116927484404
distance,75.0,0.008498813551518918,0.44030181829578396
distance,80.0,0.02405486564456987,1.1891253445684782
distance,90.0,0.0020255392038893327,1.4257326080703412
distance,100.0179,0.005666120942641744,1.0044224228082659
distance,110.0102,0.004080088846973574,0.5135785662939273
distance,120.0022,0.005751380115487231,0.526642837383094
chemical potential,70.0,0.0004820022292063694,0.7752992922842464
chemical potential,75.0,-0.0009892944746440386,0.5304908693384779
chemical potential,80.0,0.005589749043541676,0.9683919132114005
chemical potential,90.0,0.0015400613875606606,0.5617138587256943
chemical potential,100.0179,0.0030955110423184023,0.5479987510985218
chemical potential,110.0102,0.0013280711787573638,0.4618736247976398
chemical potential,120.0022,0.0029403343308069393,0.3150979669513325
pressure,70.0,0.011262989398584439,1.9201793886318683
pressure,75.0,0.008242025291630787,0.5556388465488898
pressure,80.0,0.02365389829671624,1.5720992151969333
pressure,90.0,0.0018765896722661224,2.331078970299049
pressure,100.0179,0.005317807609571382,1.597670203981181
pressure,110.0102,0.0037544323802054724,0.8000746812288444
pressure,120.0022,0.005664807804812892,0.8774203499414844
