Optimization type,Temperature_[K],kij,MARD_percentage
distance,140,0.029596790654439726,0.32833974917975606
distance,160,0.030799647312146988,0.23624238345286108
distance,170,0.03357924414933474,0.1450937512884355
distance,180,0.04120050441596022,0.09692561958772022
chemical potential,140,0.02484695595302344,0.2846452415794509
chemical potential,160,0.023318371583760673,0.19206669009021066
chemical potential,170,0.026784473771444404,0.14045856610783897
chemical potential,180,0.03626542259594109,0.17938978398103209
pressure,140,nan,nan
pressure,160,0.026206378966688523,0.8167818991593557
pressure,170,nan,nan
pressure,180,nan,nan
